id,dragName,realName,hometown,biography,twitter,instagram,tiktok,metadataSourceUrl,hasImages,imageCount,imageUrls,lastImageScrapeAt,age,outcome,season,franchise,seasonMetadataSourceUrl,createdAt,updatedAt
2a148e91-1d0f-459f-a2e4-b4edaebe7bb6,Xunami Muse,9th place[a],"New York City, New York",,,,,https://rupaulsdragrace.fandom.com/wiki/Xunami_Muse,false,0,,,34,9th place[a],Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:55.228Z,2025-08-20T19:47:55.228Z
9a1482ed-0ecf-4a76-9aac-61409bbb2437,Plasma[c],8th place,"New York City, New York",,,,,,false,0,,,24,8th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:52.973Z,2025-08-20T19:47:52.973Z
a3f79c07-ed43-4c09-91ba-9b4b0371cec2,Mhi'ya Iman Le'Paige,7th place,"Miami, Florida",,,,,https://rupaulsdragrace.fandom.com/wiki/Mhi%27ya_Iman_Le%27Paige,false,0,,,34,7th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:50.717Z,2025-08-20T19:47:50.717Z
c5520f46-f87a-4ee1-8fc6-35f5c25b3d05,Dawn,6th place,"New York City, New York",,,,,https://rupaulsdragrace.fandom.com/wiki/Dawn,false,0,,,25,6th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:48.384Z,2025-08-20T19:47:48.384Z
d0ef90e9-40cd-45ea-a8d2-1a4055e6ac01,Morphine Love Dion,5th place[b],"Miami, Florida",,,,,https://rupaulsdragrace.fandom.com/wiki/Morphine_Love_Dion,false,0,,,26,5th place[b],Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:46.007Z,2025-08-20T19:47:46.007Z
ab9b8341-bfa4-4b32-95ee-5c198cd296e1,Q,4th place,"Kansas City, Missouri",,,,,https://rupaulsdragrace.fandom.com/wiki/Drag_Race_Belgique,false,0,,,26,4th place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:43.564Z,2025-08-20T19:47:43.564Z
7fe49210-e843-41d3-adf6-b7fbb8470e8c,Plane Jane,3rd place,"Boston, Massachusetts",,,,,https://rupaulsdragrace.fandom.com/wiki/Plane_Jane,false,0,,,25,3rd place,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:40.763Z,2025-08-20T19:47:40.763Z
4352fbc0-03ad-4903-a4b9-1eec8cbe51d4,Sapphira Cristál,Runner-up[a],"Philadelphia, Pennsylvania",,,,,https://rupaulsdragrace.fandom.com/wiki/Sapphira_Crist%C3%A1l,false,0,,,34,Runner-up,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:38.117Z,2025-08-20T19:47:38.117Z
cc5e705b-18a0-4d37-a517-59be0ff55a88,Nymphia Wind,Winner,"New York City, New York",,,,,https://rupaulsdragrace.fandom.com/wiki/Nymphia_Wind,false,0,,,27,Winner,Season 16,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_(season_16),2025-08-20T19:47:35.731Z,2025-08-20T19:47:35.731Z
e6531367-f359-4d38-9b18-2d33c6fbd34c,Athena Likis[d],Belgique Season 1,"City of Brussels, Belgium",,,,,https://rupaulsdragrace.fandom.com/wiki/Athena_Likis,false,0,,,27,12th place,RuPaul’s Drag Race Global All Stars Season 1,Global All Stars,https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_Global_All_Stars,2025-08-20T19:47:32.352Z,2025-08-20T19:47:32.352Z
